Period,Län,Alla lediga jobb,Nya lediga jobb
2025-03,Blekinge län,3194,1229
2025-03,Dalarnas län,4517,2617
2025-03,Gotlands län,1488,1072
2025-03,Gävleborgs län,3605,3004
2025-03,Hallands län,3780,3375
2025-03,Jämtlands län,1568,1640
2025-03,Jönköpings län,6777,4764
2025-03,Kalmar län,4581,2795
2025-03,Kronobergs län,3715,1915
2025-03,Norrbottens län,6122,4157
2025-03,Skåne län,15534,10677
2025-03,Stockholms län,20439,23571
2025-03,Södermanlands län,2983,2391
2025-03,Uppsala län,3890,3483
2025-03,Värmlands län,4246,2013
2025-03,Västerbottens län,5148,2993
2025-03,Västernorrlands län,3353,2693
2025-03,Västmanlands län,3869,3147
2025-03,Västra götalands län,22801,21080
2025-03,Örebro län,4392,3445
2025-03,Östergötlands län,8012,5190
